rank,beta,relative error,std error
1,1,0.07579634049089695,0.0008905736447912484
2,1,0.05771052696101936,0.0005954067046570743
3,1,0.04280805609564195,0.0006916647289217542
4,1,0.027052069875290775,0.0004760829874388474
5,1,0.019913580338286913,0.00020654325956419339
6,1,0.01766073817045821,0.00029266954236758396
7,1,0.014929353785959198,0.0003124372781880219
8,1,0.01174058761719485,0.00022442135097767684
9,1,0.009748909976945205,0.00011933239208477083
10,1,0.008337171759852758,0.00032076931622677756
11,1,0.007250473170568246,0.00016420976326589828
12,1,0.006414662045425362,0.00011208070351363115
13,1,0.0060462957396015355,0.00013376258130156846
14,1,0.0057341225067036785,0.00015206505622630836
